,intensity,latitude,longitude,validTimeUtc
130,-15000,23.02715,38.75024,2018-12-04T10:29:49.900+0000
131,26000,-13.88527,133.75439,2018-12-04T10:30:04.330+0000
132,8000,-1.87189,16.86017,2018-12-04T10:30:05.328+0000
133,-66000,-4.29759,177.95328,2018-12-04T10:30:11.944+0000
134,9000,-4.7481,18.89581,2018-12-04T10:30:12.095+0000
135,11000,-15.20566,143.5555,2018-12-04T10:29:27.419+0000
136,-27000,-28.10566,130.20886,2018-12-04T10:30:00.422+0000
137,-4000,-15.96145,26.29955,2018-12-04T10:30:10.179+0000
138,16000,-12.38838,132.9325,2018-12-04T10:30:26.539+0000
139,9000,-15.67932,144.32013,2018-12-04T10:30:04.610+0000
140,-6000,-15.99042,26.28811,2018-12-04T10:29:45.330+0000
141,-18000,-21.73227,149.7075,2018-12-04T10:30:22.840+0000
142,1000,-33.96002,34.71899,2018-12-04T10:30:08.467+0000
143,-6000,-1.62094,16.8873,2018-12-04T10:29:43.292+0000
144,-30000,-2.8408800000000003,111.46566,2018-12-04T10:29:50.327+0000
145,-24000,-21.978,150.67136,2018-12-04T10:30:20.479+0000
146,-15000,2.9981400000000002,30.35789,2018-12-04T10:30:14.585+0000
147,3000,-2.76912,16.43471,2018-12-04T10:29:58.055+0000
148,-5000,-33.08526,-46.47571,2018-12-04T10:30:02.391+0000
149,-6000,22.49538,38.80398,2018-12-04T10:30:13.051+0000
150,12000,-15.92183,144.03236,2018-12-04T10:29:43.199+0000
151,22000,-15.65127,144.02546,2018-12-04T10:30:16.804+0000
152,14000,-15.63619,144.34069,2018-12-04T10:29:59.302+0000
153,2000,-16.27014,26.62241,2018-12-04T10:29:28.846+0000
154,-34000,4.54088,113.73213,2018-12-04T10:29:39.600+0000
155,3000,-1.72957,16.84764,2018-12-04T10:29:58.034+0000
156,6000,-14.95515,142.68347,2018-12-04T10:30:18.220+0000
157,3000,-13.28338,19.89018,2018-12-04T10:30:04.628+0000
158,11000,-15.75337,144.25061,2018-12-04T10:29:40.206+0000
159,38000,-13.03596,161.51312,2018-12-04T10:29:54.215+0000
160,-16000,-25.6656,155.87195,2018-12-04T10:29:43.566+0000
161,-7000,-15.62818,144.31799,2018-12-04T10:29:31.380+0000
162,-11000,20.41992,-94.01142,2018-12-04T10:29:32.438+0000
163,-24000,-12.78606,132.77163,2018-12-04T10:29:46.584+0000
164,16000,-14.11027,132.85316,2018-12-04T10:29:42.844+0000
165,19000,-15.4828,144.02955,2018-12-04T10:29:59.181+0000
166,-3000,5.9552700000000005,89.21783,2018-12-04T10:30:05.519+0000
167,16000,-15.745940000000001,144.02802,2018-12-04T10:30:24.303+0000
168,-36000,-15.5052,143.29404,2018-12-04T10:29:30.740+0000
169,-8000,-2.64596,17.51017,2018-12-04T10:29:45.811+0000
170,25000,-15.72985,125.43227,2018-12-04T10:29:49.387+0000
171,-14000,-22.04521,150.68241,2018-12-04T10:29:44.782+0000
172,-26000,-2.7992600000000003,120.89456,2018-12-04T10:30:05.528+0000
173,-4000,-5.25216,20.49337,2018-12-04T10:30:02.053+0000
174,-5000,4.42534,-25.50108,2018-12-04T10:30:20.320+0000
175,-9000,-16.50971,124.87046,2018-12-04T10:30:24.199+0000
176,9000,-24.25534,125.57921,2018-12-04T10:29:56.696+0000
177,-18000,-15.67001,144.19067,2018-12-04T10:29:36.005+0000
178,-5000,-15.8458,144.01923,2018-12-04T10:29:46.146+0000
179,9000,-15.57389,143.45169,2018-12-04T10:29:46.676+0000
180,11000,-15.91764,26.19765,2018-12-04T10:30:00.303+0000
181,3000,-24.33923,125.48274,2018-12-04T10:29:50.792+0000
182,-59000,-15.94756,26.37101,2018-12-04T10:29:38.706+0000
183,17000,-15.89023,143.95706,2018-12-04T10:29:58.002+0000
184,15000,-15.84098,144.76773,2018-12-04T10:29:47.842+0000
185,23000,-13.07487,161.94679,2018-12-04T10:30:19.951+0000
186,14000,-2.50368,120.16753,2018-12-04T10:29:26.749+0000
187,-17000,-2.08517,34.42407,2018-12-04T10:29:28.432+0000
188,-15000,-16.22973,26.24202,2018-12-04T10:30:13.268+0000
189,-19000,-15.72877,125.47158,2018-12-04T10:30:22.314+0000
190,-5000,-1.7406100000000002,16.88321,2018-12-04T10:29:29.370+0000
